RBP	Position	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Percentage	# Diff. Events	# Diff. Events + Binding (Any Pos.)	# Diff. Events + Binding (Specific Pos.)	% Diff. Events + Binding (Any Pos.)	% Diff. Events + Binding (Specific Pos.)
AGGF1	1	HepG2	AGGF1_1	4.2241953e-07	0.0	0.0981304296627602	0.0	0.0	0.0		
AGGF1	2	HepG2	AGGF1_2	5.6394874e-05	-0.0	0.23396416170621764	0.0	0.0	0.0		
AGGF1	3	HepG2	AGGF1_3	0.0007411269	-0.0	0.11815964600906195	0.0	0.0	0.0		
AGGF1	4	HepG2	AGGF1_4	0.00019372237	-0.0	0.15248938334838	0.0	0.0	0.0		
AGGF1	5	HepG2	AGGF1_5	3.2056938e-05	0.0	0.15374120937002386	0.0	0.0	0.0		
AGGF1	6	HepG2	AGGF1_6	7.776903e-05	0.029735413032328423	0.18357285998750297	0.0	0.0	0.0		
AKAP1	1	HepG2	AKAP1_1	0.00050334726	0.0	0.06755617038837372	751.0	11.0	0.0	1.4647137150466045	0.0
AKAP1	2	HepG2	AKAP1_2	0.00063311483	0.0	0.09134086479960705	751.0	11.0	0.0	1.4647137150466045	0.0
AKAP1	3	HepG2	AKAP1_3	0.0	-0.0	0.058984344748642885	751.0	11.0	0.0	1.4647137150466045	0.0
AKAP1	4	HepG2	AKAP1_4	4.4096414e-06	0.0	0.07186330059843649	751.0	11.0	0.0	1.4647137150466045	0.0
AKAP1	5	HepG2	AKAP1_5	1.6308463e-06	0.0	0.14016207964371757	751.0	11.0	3.0	1.4647137150466045	0.3994673768308922
AKAP1	6	HepG2	AKAP1_6	0.00042479552	-0.02322377242671065	0.6809933557742597	751.0	11.0	9.0	1.4647137150466045	1.1984021304926764
AQR	1	HepG2	AQR_1	0.0057642153	-0.012101148774311895	5.503791017193512	619.0	113.0	36.0	18.25525040387722	5.815831987075929
AQR	2	HepG2	AQR_2	0.041565586	-0.0380010859748739	8.98692266155186	619.0	113.0	28.0	18.25525040387722	4.523424878836833
AQR	3	HepG2	AQR_3	0.11101568	0.09164786307255668	6.403005231147553	619.0	113.0	25.0	18.25525040387722	4.038772213247173
AQR	4	HepG2	AQR_4	0.046067722	0.05718853215207171	5.405151370166015	619.0	113.0	19.0	18.25525040387722	3.0694668820678515
AQR	5	HepG2	AQR_5	0.034189764	-0.03781979230198639	8.523577294422054	619.0	113.0	46.0	18.25525040387722	7.431340872374798
AQR	6	HepG2	AQR_6	0.0073187468	-0.007577944313885596	4.408867596059082	619.0	113.0	18.0	18.25525040387722	2.9079159935379644
BCCIP	1	HepG2	BCCIP_1	0.0	0.0	0.007553390910257866	291.0	0.0	0.0	0.0	0.0
BCCIP	2	HepG2	BCCIP_2	0.0	-0.0	0.022766259681760364	291.0	0.0	0.0	0.0	0.0
BCCIP	3	HepG2	BCCIP_3	0.0	0.0	0.01128765158499209	291.0	0.0	0.0	0.0	0.0
BCCIP	4	HepG2	BCCIP_4	0.0	0.0	0.0005304347549338388	291.0	0.0	0.0	0.0	0.0
BCCIP	5	HepG2	BCCIP_5	0.0	-0.0	0.006428869229798128	291.0	0.0	0.0	0.0	0.0
BCCIP	6	HepG2	BCCIP_6	0.0	-0.0	0.008083825665191705	291.0	0.0	0.0	0.0	0.0
